lat,lon,temp,humid,cloud,wind
13.28,-87.12,306.53,36,39,4.99
46.71,-80.92,283.22,15,40,5.1
-33.59,26.89,289.26,87,43,0.89
-53.15,-70.92,278.15,86,99,2.6
37.67,21.62,284.3,87,41,1.5
-20.52,57.52,296.15,94,75,1.5
60.38,92.63,274.81,88,97,2.92
31.22,29.96,292.15,63,40,5.1
39.65,-104.99,293.72,11,75,4.1
44.77,-117.83,293.33,18,1,6.2
-21.34,55.48,293.93,83,47,1.94
41.37,-73.41,287.98,22,1,2.6
62.46,-114.35,279.98,42,20,3.6
71.29,-156.79,265.15,72,1,3.6
-33.92,25.57,290.15,77,7,3.6
-54.8,-68.3,278.15,65,98,1.5
5.41,100.34,299.4,94,40,2.1
-34.65,-58.62,286.89,100,28,6.47
20.89,-156.47,299.1,45,20,9.3
70.63,147.92,265.33,96,84,3.69
37.72,-25.43,289.15,77,20,5.1
38.52,-28.7,289.11,87,86,6.28
-23.12,-134.97,296.01,65,100,4.46
15.74,-96.47,306.04,46,40,3.73
-46.19,168.86,283.27,77,92,2.95
-33.65,115.33,281.27,98,74,10.99
71.92,114.08,255.06,92,63,3.71
37.1,-113.58,303.9,7,1,0.98
17.02,54.09,302.15,79,75,2.6
42.6,-73.97,286.63,21,73,3.16
-33.93,18.42,290.81,88,89,4.1
-24.79,-50.01,289.37,75,100,2.28
-13.44,-42.24,294.75,80,13,2.88
-33.02,27.91,291.3,65,85,5.26
-3.8,102.27,297.88,86,96,1.78
34.88,-76.9,292.46,68,75,4.6
63.01,112.47,278.89,80,100,2.58
-20.73,139.5,294.15,46,0,6.2
57.79,-152.41,281.15,70,90,10.8
-35.33,-72.42,288.08,58,11,4.41
-0.74,-90.35,299.57,88,75,7.2
-24.87,113.63,293.63,78,11,7.63
-20.41,57.7,296.15,94,75,1.5
59.7,30.79,280.92,53,40,2.53
37.48,141.0,285.93,93,100,2.43
29.97,40.21,294.15,35,0,9.3
-0.6,73.08,302.01,74,100,3.8
41.19,19.56,286.15,76,75,2.6
54.17,74.69,280.41,59,1,4.05
30.48,-115.95,296.27,55,0,6.77
68.1,16.37,277.59,76,100,4.92
6.12,81.12,300.56,82,84,4.29
7.7,18.63,296.81,81,100,3.44
43.52,-8.15,289.62,77,100,4.6
46.83,-100.89,285.13,53,20,7.2
